28000,,01/01/2000,31/12/2010
0.52,,,
22.97,,,
16.8,,,
5.95,,,
23.94,,,
0.88,,,
8.93,,,
1.11,,,
0.61,,,
1.29,,,
2.41,,,
16.75,,,
0.14,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0.24,,,
0,,,
0,,,
0,,,
0,,,
0,,,
23.52,,,
20.74,,,
1.14,,,
2.31,,,
24.62,,,
0.93,,,
0.94,,,
0.12,,,
1.48,,,
11.58,,,
45.08,,,
7.27,,,
26.38,,,
6.15,,,
18.99,,,
8.37,,,
1.22,,,
6.21,,,
11.62,,,
4.17,,,
6.53,,,
5.99,,,
0,,,
6.58,,,
0.11,,,
3.29,,,
7.71,,,
14.88,,,
0.15,,,
5.46,,,
51.58,,,
35.98,,,
8.28,,,
1.32,,,
17.01,,,
2.42,,,
0,,,
4.48,,,
5.22,,,
0.97,,,
1.2,,,
0.71,,,
0.1,,,
0.01,,,
0,,,
1.6,,,
0.53,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0.31,,,
1.89,,,
2.85,,,
6.08,,,
11.79,,,
6.23,,,
0.85,,,
0.05,,,
1.05,,,
0,,,
0.95,,,
3.99,,,
25.27,,,
34.18,,,
2.42,,,
0,,,
0,,,
0,,,
0.3,,,
0,,,
3.47,,,
13.66,,,
6.9,,,
0.73,,,
6.16,,,
2.67,,,
15.94,,,
16.15,,,
25.81,,,
33.06,,,
13.11,,,
25.58,,,
0.34,,,
5.87,,,
36.05,,,
3.29,,,
7.73,,,
0.7,,,
0.07,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0.12,,,
0,,,
0.58,,,
4.72,,,
5.89,,,
1.26,,,
0,,,
0,,,
0,,,
9.93,,,
9.94,,,
1.2,,,
0.16,,,
6.72,,,
1.34,,,
5.42,,,
14.25,,,
6.43,,,
9.58,,,
17.91,,,
18.58,,,
3.84,,,
1.11,,,
3.69,,,
10.43,,,
3.98,,,
2.18,,,
1.51,,,
0,,,
0.92,,,
1.31,,,
0.05,,,
6.05,,,
0.1,,,
2.87,,,
0.35,,,
0.94,,,
1.93,,,
0.93,,,
0,,,
0,,,
0,,,
0,,,
3.88,,,
15.42,,,
3.24,,,
9.52,,,
0.28,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0.34,,,
3.98,,,
0.4,,,
1.88,,,
2.98,,,
18.15,,,
12.45,,,
11.91,,,
0.55,,,
10.84,,,
18.78,,,
3.15,,,
0.95,,,
4.11,,,
0.36,,,
0,,,
0,,,
0,,,
0.04,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
7.38,,,
4.98,,,
0.36,,,
0,,,
1.75,,,
2.72,,,
26.8,,,
0.28,,,
0,,,
0,,,
0,,,
0.59,,,
6.33,,,
1.1,,,
0,,,
0,,,
13.52,,,
37.96,,,
0.35,,,
2.98,,,
0.46,,,
9.4,,,
9.75,,,
0.14,,,
2.3,,,
4.43,,,
0,,,
0,,,
0,,,
1.08,,,
5.28,,,
0.4,,,
0.79,,,
0.1,,,
0,,,
9.06,,,
21.59,,,
0.57,,,
0,,,
0.16,,,
2.24,,,
2.88,,,
4.41,,,
6.12,,,
1.04,,,
0,,,
0.28,,,
0,,,
1.41,,,
49.29,,,
4.64,,,
0.07,,,
16.87,,,
5.52,,,
1.55,,,
1.59,,,
18.89,,,
4.89,,,
2.37,,,
5.19,,,
37.25,,,
3.19,,,
54.23,,,
5.11,,,
5.97,,,
0.02,,,
19.19,,,
1.32,,,
8.43,,,
3.42,,,
1.66,,,
1.44,,,
6.12,,,
8.94,,,
55.48,,,
17.61,,,
23.62,,,
9.83,,,
1.99,,,
4.22,,,
1.15,,,
0.46,,,
